#	x	y	value.real	value.imag	value.abs
+4.400000e+00	+2.000000e+00	+1.536952e+00	+0.000000e+00	+1.536952e+00
+4.800000e+00	+2.000000e+00	+1.441861e+00	+0.000000e+00	+1.441861e+00
+5.200000e+00	+2.000000e+00	+1.352496e+00	+0.000000e+00	+1.352496e+00
+5.600000e+00	+2.000000e+00	+1.268484e+00	+0.000000e+00	+1.268484e+00
+6.000000e+00	+2.000000e+00	+1.189486e+00	+0.000000e+00	+1.189486e+00
+6.400000e+00	+2.000000e+00	+1.115183e+00	+0.000000e+00	+1.115183e+00
+6.800000e+00	+2.000000e+00	+1.045276e+00	+0.000000e+00	+1.045276e+00
+7.200000e+00	+2.000000e+00	+9.794920e-01	+0.000000e+00	+9.794920e-01
+7.600000e+00	+2.000000e+00	+9.175721e-01	+0.000000e+00	+9.175721e-01
+8.000000e+00	+2.000000e+00	+8.592734e-01	+0.000000e+00	+8.592734e-01
+8.400000e+00	+2.000000e+00	+8.043688e-01	+0.000000e+00	+8.043688e-01
+8.800000e+00	+2.000000e+00	+7.526421e-01	+0.000000e+00	+7.526421e-01
+9.200000e+00	+2.000000e+00	+7.038908e-01	+0.000000e+00	+7.038908e-01
+9.600000e+00	+2.000000e+00	+6.579258e-01	+0.000000e+00	+6.579258e-01
+1.000000e+01	+2.000000e+00	+6.145646e-01	+0.000000e+00	+6.145646e-01
+1.040000e+01	+2.000000e+00	+5.736336e-01	+0.000000e+00	+5.736336e-01
+1.080000e+01	+2.000000e+00	+5.349671e-01	+0.000000e+00	+5.349671e-01
+1.120000e+01	+2.000000e+00	+4.984191e-01	+0.000000e+00	+4.984191e-01
+1.160000e+01	+2.000000e+00	+4.638379e-01	+0.000000e+00	+4.638379e-01
+1.200000e+01	+2.000000e+00	+4.310906e-01	+0.000000e+00	+4.310906e-01
+1.240000e+01	+2.000000e+00	+4.000489e-01	+0.000000e+00	+4.000489e-01
+1.280000e+01	+2.000000e+00	+3.705909e-01	+0.000000e+00	+3.705909e-01
+1.320000e+01	+2.000000e+00	+3.426025e-01	+0.000000e+00	+3.426025e-01
+1.360000e+01	+2.000000e+00	+3.159682e-01	+0.000000e+00	+3.159682e-01
+1.400000e+01	+2.000000e+00	+2.905855e-01	+0.000000e+00	+2.905855e-01
+1.440000e+01	+2.000000e+00	+2.663500e-01	+0.000000e+00	+2.663500e-01
